t,baseline,uav_xyz,coverage_tau_db,coverage_count,coverage_ratio,best_sinr_mean,best_sinr_min,best_sinr_max,load_var,per_uav_load_min,per_uav_load_mean,per_uav_load_max
0,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,35.0,0.23333333333333334,-74.1801528930664,-120.00000762939453,83.5401840209961,1626.2449951171875,3.0,29.200000762939453,120.0
1,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,34.0,0.22666666666666666,-75.09819030761719,-120.00000762939453,83.38052368164062,1662.530517578125,1.0,29.0,121.0
2,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,31.0,0.20666666666666667,-79.18637084960938,-120.00000762939453,81.12306213378906,1625.101806640625,3.0,29.0,120.0
3,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,33.0,0.22,-78.52299499511719,-120.00000762939453,82.09283447265625,1665.3875732421875,3.0,29.799999237060547,121.0
4,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,40.0,0.26666666666666666,-68.47552490234375,-120.00000762939453,81.03466796875,1480.2449951171875,1.0,28.600000381469727,115.0
5,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,36.0,0.24,-73.51322937011719,-120.00000762939453,82.09283447265625,1593.959228515625,2.0,29.0,119.0
6,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,47.0,0.31333333333333335,-59.778621673583984,-120.00000762939453,83.53857421875,1291.6732177734375,3.0,28.600000381469727,109.0
7,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,43.0,0.2866666666666667,-66.02200317382812,-120.00000762939453,83.35951232910156,1476.530517578125,1.0,29.200000762939453,115.0
8,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,29.0,0.19333333333333333,-82.44759368896484,-120.00000762939453,83.4310302734375,1691.958984375,1.0,28.799999237060547,122.0
9,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,37.0,0.24666666666666667,-72.82532501220703,-120.00000762939453,81.94052124023438,1497.9593505859375,5.0,29.0,116.0
10,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,41.0,0.2733333333333333,-68.0825424194336,-120.00000762939453,81.94052124023438,1564.2447509765625,3.0,29.200000762939453,118.0
11,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,32.0,0.21333333333333335,-79.18572235107422,-120.00000762939453,82.04853057861328,1761.9591064453125,1.0,29.0,124.0
